source,pt_PT
Cannot retrieve link token. Check Error Log for more information,Não é possível recuperar o token do link. Verifique o log de erros para obter mais informações
Cannot select a Group type Customer Group. Please select a non-group Customer Group.,Não é possível selecionar um grupo de clientes do tipo Grupo. Selecione um grupo de clientes que não seja do grupo.
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Não é possível selecionar o tipo de cobrança como 'Valor da linha anterior' ou 'Total da linha anterior' para a primeira linha
Cannot set as Lost as Sales Order is made.,Não é possível definir como Perdido porque a Ordem de vendas é feita.
Cannot set multiple Item Defaults for a company.,Não é possível definir vários padrões de item para uma empresa.
Cannot start deletion. Another deletion {0} is already queued/running. Please wait for it to complete.,Não é possível iniciar a exclusão. Outra exclusão {0} já está na fila/em execução. Aguarde a conclusão.
Cannot update rate as item {0} is already ordered or purchased against this quotation,Não é possível atualizar a taxa porque o item {0} já foi pedido ou comprado com base nesta cotação
Cannot {0} from {1} without any negative outstanding invoice,Não é possível {0} de {1} sem nenhuma fatura pendente negativa
Canonical URI,URI canônico
Capacity,Capacidade
Capacity (Stock UOM),Capacidade (UM de estoque)
Capacity Planning,Planejamento de capacidade
Capacity Planning For (Days),Planejamento de capacidade para (dias)
Capacity in Stock UOM,Capacidade em estoque UOM
Capacity must be greater than 0,A capacidade deve ser maior que 0
Capital Equipment,Equipamento de capital
Capital Work In Progress Account,Conta de trabalho de capital em andamento
Capitalize Asset,Capitalizar Ativo
Capitalize Repair Cost,Capitalizar o custo de reparo
Capitalize this asset before submitting.,Capitalize este ativo antes de enviar.
Capitalized,Capitalizado
Carrier,Operadora
Carrier Service,Serviço de transportadora
Carry Forward Communication and Comments,Levar adiante comunicações e comentários
Cash Entry,Entrada de dinheiro
Cash/Bank Account,Dinheiro/Conta Bancária
Cashier is currently assigned to another POS.,O caixa está atualmente atribuído a outro POS.
Catch All,Pegue tudo
Categorize By,Categorizar por
Categorize by,Categorizar por
Categorize by Account,Categorizar por conta
Categorize by Item,Categorizar por item
Categorize by Party,Categorizar por partido
Categorize by Supplier,Categorizar por Fornecedor
Categorize by Voucher,Categorizar por Voucher
Categorize by Voucher (Consolidated),Categorizar por Voucher (Consolidado)
Category,Categoria
Category Details,Detalhes da categoria
Caution: This might alter frozen accounts.,Cuidado: isso pode alterar contas congeladas.
Cellphone Number,Número de celular
Certificate,Certificado
Certificate Details,Detalhes do certificado
Certificate Limit,Limite de certificado
Certificate No,Certificado Não
Certificate Required,Certificado obrigatório
Change Amount,Alterar valor
Change in Stock Value,Mudança no valor do estoque
Change the account type to Receivable or select a different account.,Altere o tipo de conta para Contas a Receber ou selecione uma conta diferente.
Change this date manually to setup the next synchronization start date,Altere esta data manualmente para configurar a próxima data de início da sincronização
Changed customer name to '{}' as '{}' already exists.,Nome do cliente alterado para '{}' porque '{}' já existe.
Changes,Mudanças
Changes in {0},Mudanças em {0}
"Changing the valuation method to Moving Average will affect new transactions. If backdated entries are added, earlier FIFO-based entries will be reposted, which may change closing balances.","A alteração do método de avaliação para Média Móvel afetará novas transações. Se forem adicionados lançamentos retroativos, os lançamentos anteriores baseados em FIFO serão relançados, o que poderá alterar os saldos finais."
Channel Partner,Parceiro de canal
Charge of type 'Actual' in row {0} cannot be included in Item Rate or Paid Amount,A cobrança do tipo 'Real' na linha {0} não pode ser incluída na Taxa do Item ou no Valor Pago
Chargeable,Cobrável
Charges Incurred,Encargos incorridos
Charges are updated in Purchase Receipt against each item,As cobranças são atualizadas no recibo de compra em relação a cada item
"Charges will be distributed proportionately based on item qty or amount, as per your selection","As cobranças serão distribuídas proporcionalmente com base na quantidade ou valor do item, conforme sua seleção"
Chart,Gráfico
Chart Of Accounts,Plano de contas
Chart Of Accounts Template,Modelo de plano de contas
Chart Preview,Pré-visualização do gráfico
Chart Tree,Árvore de gráfico
Chassis No,Chassi Não
Chat,Bater papo
Check Availability in Warehouse,Verifique a disponibilidade no armazém
Check Supplier Invoice Number Uniqueness,Verifique a exclusividade do número da fatura do fornecedor
Check if it is a hydroponic unit,Verifique se é uma unidade hidropônica
Check if material transfer entry is not required,Verifique se a entrada de transferência de material não é necessária
Check if this tax is not applicable to items (distinct from 0% rate),Verifique se este imposto não é aplicável aos itens (diferente da alíquota de 0%)
Check row {0} for account {1}: Party Type is only allowed for Receivable or Payable accounts,Verifique a linha {0} da conta {1}: o tipo de parte só é permitido para contas a receber ou a pagar
Check row {0} for account {1}: Party is only allowed if Party Type is set,Verifique a linha {0} da conta {1}: A festa só é permitida se o Tipo de festa estiver definido
Check this to disallow fractions. (for Nos),Marque isto para proibir frações. (para números)
Checked On,Verificado
Checking this will round off the tax amount to the nearest integer,Marcar isto arredondará o valor do imposto para o número inteiro mais próximo
Checkout,Confira
Cheque,Verificar
Cheque Date,Data de verificação
Cheque Height,Verifique a altura
Cheque Number,Verifique o número
Cheque Print Template,Verifique o modelo de impressão
Cheque Size,Verifique o tamanho
Cheque Width,Verifique a largura
Cheque/Reference No,Cheque/Nº de referência
Cheques and Deposits Incorrectly cleared,Cheques e depósitos compensados ​​incorretamente
Child DocTypes,Tipos de documentos filhos
Child Docname,Nome do documento filho
Child Row Reference,Referência de linha secundária
Child Table Not Allowed,Tabela filho não permitida
Child tables that will also be deleted,Tabelas filhas que também serão excluídas
City,Cidade
Claimed Landed Cost Amount (Company Currency),Valor do custo final reivindicado (moeda da empresa)
Class / Percentage,Classe/Porcentagem
Classification of Customers by region,Classificação de Clientes por região
Clauses and Conditions,Cláusulas e Condições
Clear Last Scanned Warehouse,Limpar último armazém digitalizado
Clear Link,Limpar link
Clear Notifications,Limpar notificações
Clear Table,Limpar tabela
Clearance date changed from {0} to {1} via Bank Clearance Tool,Data de compensação alterada de {0} para {1} através da ferramenta de compensação bancária
Clearing Demo Data...,Limpando dados de demonstração...
Click on 'Get Finished Goods for Manufacture' to fetch the items from the above Sales Orders. Items only for which a BOM is present will be fetched.,Clique em 'Obter produtos acabados para fabricação' para buscar os itens das ordens de vendas acima. Somente os itens para os quais uma BOM estiver presente serão buscados.
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,Clique em Adicionar aos feriados. Isso preencherá a tabela de feriados com todas as datas que caem na folga semanal selecionada. Repita o processo para preencher as datas de todos os seus feriados semanais
Click on Get Sales Orders to fetch sales orders based on the above filters.,Clique em Obter ordens de vendas para buscar ordens de vendas com base nos filtros acima.
Click on Import Invoices button once the zip file has been attached to the document. Any errors related to processing will be shown in the Error Log.,Clique no botão Importar faturas assim que o arquivo zip for anexado ao documento. Quaisquer erros relacionados ao processamento serão mostrados no Log de Erros.
Click on the link below to verify your email and confirm the appointment,Clique no link abaixo para verificar seu e-mail e confirmar o agendamento
Click this button if you encounter a negative stock error for a serial or batch item. The system will fetch the available serials or batches automatically.,Clique neste botão se encontrar um erro de estoque negativo para um item de série ou lote. O sistema irá buscar os números de série ou lotes disponíveis automaticamente.
Click to add email / phone,Clique para adicionar e-mail/telefone
Cliente,Cliente
Close,Fechar
Close Issue After Days,Fechar problema após dias
Close Replied Opportunity After Days,Fechar oportunidade respondida após dias
Closed,Fechado
Closed Documents,Documentos Fechados
Closed Work Order can not be stopped or Re-opened,A ordem de serviço fechada não pode ser interrompida ou reaberta
Closed order cannot be cancelled. Unclose to cancel.,Pedido fechado não pode ser cancelado. Abrir para cancelar.
Closing,Fechando
Closing (Cr),Fechamento (Cr)
Closing Account Head,Encerramento do chefe da conta
Closing Account {0} must be of type Liability / Equity,A conta de encerramento {0} deve ser do tipo Passivo/Patrimônio
Closing Amount,Valor de fechamento
Closing Balance as per Bank Statement,Saldo final conforme extrato bancário
